Join_Count,TARGET_FID,ZONING,GPIN_ini,MZONE_ini,MLUSE_ini,MCLASS_ini,MTOTPR_ini,MTUTIL_ini,MBASA_ini,MTOTA_ini,MASSLU_ini,MAP_PIN_fnl,GPIN_fnl,Zoning_fnl,MZONE_fnl,MLUSE_fnl,MCLASS_fnl,MTOTPR_fnl,MTUTIL_fnl,MBASA_fnl,MTOTA_fnl,MASSLU_fnl,Area_acre,Change
4,325,R-5,6735-70-9792,,6,,838100,0,0,0,84200,14-105,6735-70-7691,RR-5,,6,,658600,0,0,0,47800,209.631,No
2,331,A-1,6724-93-6125,,5,C,324900,8000,1435,2078.8,63925,14-12,6724-93-3586,A-10,,2,C,168000,11000,1435,2078.8,0,50.0887,Yes
3,375,A-1,6733-09-3611,,2,,49000,0,0,0,0,14-25C,6733-09-1689,A-10,,2,,41000,0,0,0,0,9.60549,No
2,381,A-1,6733-38-5545,,2,C,143100,8000,1027.5,1731.5,0,14-3-1,6733-38-7326,A-10,,2,C,207700,11000,1384,1384,0,9.53765,No
3,408,A-1,6734-11-4914,,2,D,93100,8000,972,1164,0,14-34,6734-22-0043,A-10,,2,D,123200,11000,972,1164,0,16.7327,No
2,412,A-1,6734-02-8097,,2,,81800,0,0,0,7800,14-10,6734-02-5321,A-10,,2,,16000,0,0,0,0,13.8692,No
2,486,A-1,6733-28-4020,,2,,63000,0,0,0,0,14-55B,6733-27-3938,A-10,,2,C,177400,11000,1170,1170,0,5.60829,No
2,572,A-1,6733-68-1124,,5,C,247500,8000,1106.3,1106.3,0,14-92,6733-78-0557,A-10,,5,,134900,0,0,0,0,22.6915,No
2,576,A-1,6733-67-1691,,2,,37000,0,0,0,0,14-92D,6733-67-1430,A-10,,2,C,168300,11000,1848,1848,0,2.58955,No
2,591,A-1,6743-26-2825,,2,C,207400,8000,1809,1809,0,15-1-1,6743-26-6641,A-10,,2,C,158800,11000,1809,1809,0,10.9856,No
2,656,R-U,6743-28-0214,,2,,63500,0,0,0,0,15-2-1A,6743-28-0214,R-U,,2,C,225000,11000,1560,1574,0,4.75802,No
3,680,A-1,6754-05-0277,,6,E,1171400,8000,826,826,222325,15-24,6754-05-0277,A-10,,6,E,248500,11000,826,826,0,354.399,No
4,681,A-1,6754-13-5435,,5,,328400,0,0,0,29600,15-24A-2,6754-13-1444,A-10,,2,,112500,0,0,0,0,62.4833,Yes
5,688,A-1,6744-57-5833,,5,C,295400,8000,1312,1952,56000,15-26,6744-57-9548,A-10,,2,C,160600,11000,1312,1952,0,42.1883,Yes
4,774,I-1,6754-12-0660,I1,4,D,676400,0,0,2400,0,15-49F,6754-02-8356,I-1,I1,4,B,126400,0,0,2400,0,4.46381,No
2,799,A-1,6754-19-1903,,2,,128100,0,0,0,0,15-56A,6754-09-9864,A-10,,2,B,371300,11000,1877,2130.5,0,17.9328,No
2,872,A-1,6744-10-0221,,5,,73700,0,0,0,16575,15-9,6744-10-0221,A-10,,5,,60700,0,0,0,13650,36.8319,No
2,939,A-1,6755-21-0983,,2,B,505500,8000,2247,4093.4,0,15-59C,6755-11-6381,A-10,,2,C,126100,11000,1208,1208,0,11.3447,No
2,1042,A-1,6755-70-0359,,2,C,212000,8000,907.9,1294.5,0,16-35A,6755-60-9113,A-10,,2,C,232800,11000,907.9,1154.4,0,7.46692,No
3,1043,A-1,6754-69-2726,,2,C,196200,8000,1316,2632,0,16-35B,6754-69-2726,A-10,,2,C,204600,11000,1316,2632,0,15.4946,No
2,1045,A-1,6754-79-3426,,2,C,325700,8000,1539,2574.3,0,16-35D,6754-79-1275,A-10,,2,B,387900,11000,1539,2574.3,0,7.99038,No
10,1046,R-5,6755-81-1383,,5,,389900,0,0,0,0,16C-2-24,6755-92-0193,RR-5,,2,B,602500,11000,1821.5,4140,0,48.1584,Yes
17,1047,R-5,6755-80-6566,R-5,5,,396000,0,0,0,0,16-35G,6755-91-4696,RR-5,,79,,36400,0,0,0,0,67.613,Yes
13,1048,R-5,6754-89-5223,R-5,5,,396000,0,0,0,0,16-35I,6754-99-0152,RR-5,R-5,79,,14100,0,0,0,0,69.9323,Yes
2,1055,A-1,6754-68-1600,,2,C,165800,8000,1102,1102,0,16-38A,6754-58-9527,A-10,,2,C,159000,11000,1102,1102,0,4.36054,No
41,1085,R-5,6753-47-2168,,6,,1253800,0,0,0,0,16A-4-1,6753-46-1718,RR-5,,2,,120400,0,0,0,0,137.109,Yes
18,1097,R-5,6764-23-3299,,5,,913800,0,0,0,0,16D-3-1,6764-25-8513,RR-5,,2,B,494100,11000,1513,2269.5,0,113.24,Yes
2,1103,A-1,6754-92-8932,,5,,116700,0,0,0,9550,16-66C,6764-02-0274,A-10,,2,,82600,11000,0,0,0,23.2031,Yes
3,1116,A-1,6754-29-6918,,2,,36200,0,0,0,0,16-7,6755-20-8170,A-10,,2,,18200,0,0,0,0,9.14694,No
16,1117,R-5,6764-19-1637,,5,,303900,0,0,0,0,16-70,6765-11-2859,RR-5,,79,,15900,0,0,0,0,56.7056,Yes
2,1414,A-1,6764-77-1030,,2,C,297300,8000,1984,1984,0,17-18B,6764-77-1030,A-10,,2,,143500,0,0,0,0,17.5873,No
2,1428,A-1,6764-56-9445,,2,A,433200,8000,1026,2995.2,0,17-2-9,6764-56-9445,A-10,,2,A,558600,11000,1026,3283.2,0,10.5118,No
2,1430,AFD,6764-64-2366,,5,,188000,0,0,0,0,17-2-B,6764-64-2366,A-10,,5,,204600,0,0,0,0,31.1691,No
4,1443,A-1,6765-40-5450,,2,,165000,0,0,0,9900,16-73A,6765-31-7079,A-10,,2,,108300,0,0,0,0,39.8144,No
2,1468,A-1,6774-23-5739,,2,C,147000,8000,1020,1377,0,17-41,6774-23-4529,A-10,,2,,57500,0,0,0,0,5.29781,No
2,1513,AFD,6764-47-5948,,5,,172200,0,0,0,10000,17-6,6764-48-8401,A-10,,2,,120100,0,0,0,0,20.9443,Yes
2,1514,R-5,6774-89-0841,,5,,207600,0,0,0,0,17C-5-14,6774-79-9556,RR-5,,2,,252000,0,0,0,0,41.5878,Yes
5,1534,A-1,6774-45-0262,,2,C,362800,16000,1904,1904,0,17-63D-A,6774-45-4332,A-10,,2,C,239500,11000,1904,1904,0,17.607,No
2,1747,A-1,6774-77-0673,,5,C,459900,8000,1316,1316,106400,17-63J,6774-66-0080,A-10,,,,0,0,0,0,0,47.3143,Yes
29,1758,R-5,6773-26-5941,,6,,3770100,0,0,0,0,17-11,6773-07-5487,RR-5,,5,,147500,0,0,0,0,519.09,Yes
4,1914,R-R,6784-51-9956,,2,B,715300,8000,1940,3586,0,18-55,6784-62-5426,R-R,,2,B,437600,11000,2000,2875,80600,59.7119,No
